"effect","term","estimate","std.error","statistic","df","p.value"
"fixed","(Intercept)",1.707,1.02,1.674,8.714,0.13
"fixed","log_Deaths_windsor",0.377,0.101,3.729,9.863,0.004
"fixed","FMonth02",-0.008,0.024,-0.335,3143.271,0.737
"fixed","FMonth03",0.046,0.023,1.994,3135.558,0.046
"fixed","FMonth04",0.039,0.024,1.638,3145.932,0.101
"fixed","FMonth05",0.062,0.024,2.578,3140.237,0.01
"fixed","FMonth06",0.046,0.024,1.895,3069.634,0.058
"fixed","FMonth07",0.028,0.024,1.143,3071.608,0.253
"fixed","FMonth08",0.036,0.024,1.456,3075.39,0.145
"fixed","FMonth09",0.015,0.025,0.631,3073.554,0.528
"fixed","FMonth10",0.089,0.024,3.728,3137.763,0
"fixed","FMonth11",0.024,0.024,1.011,3146.046,0.312
"fixed","FMonth12",0.02,0.023,0.874,3138.075,0.382
"ran_pars","sd__(Intercept)",3.29,NA,NA,NA,NA
"ran_pars","cor__(Intercept).log_Deaths_windsor",-0.969,NA,NA,NA,NA
"ran_pars","sd__log_Deaths_windsor",0.325,NA,NA,NA,NA
"ran_pars","sd__Observation",0.267,NA,NA,NA,NA
